lead_id,niche,business_name,phone,email,website,address,city,state,source_url,contact_group_id,business_group_id,location_group_id,dedupe_status,dedupe_reason,outreach_suppression_key,quality_score,extraction_timestamp,website_domain,normalized_phone,normalized_email,validation_status,rejection_reason
lead_91b6e57d8e85,interior_designer,Crystal Lake Decorating Inc,815-356-0826,,,547 Woodland Dr,Crystal Lake,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_073,business_074,location_073,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18153560826,50,2026-04-25T23:08:49.471131Z,,+18153560826,,valid,
lead_be37392cda20,interior_designer,Cynthia Adler,972-470-0202,,,2711 Pinery Ln,Richardson,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_082,business_083,location_082,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+19724700202,50,2026-04-25T23:08:50.216277Z,,+19724700202,,valid,
lead_440a0cb08a77,interior_designer,Daniel's Interiors,858-481-0436,,,13278 Caminito Mendiola,San Diego,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_050,business_050,location_050,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18584810436,50,2026-04-25T23:08:48.777917Z,,+18584810436,,valid,
lead_6a4f649725f8,interior_designer,Decorating Douglas,815-385-0874,,,1603 Sunnyside Beach Dr,McHenry,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_074,business_075,location_074,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18153850874,50,2026-04-25T23:08:49.471131Z,,+18153850874,,valid,
lead_abd55d7aaf1a,interior_designer,Dena Brody Interior Designer,713-721-0577,,,4315 Breakwood Dr,Houston,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_095,business_097,location_095,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+17137210577,50,2026-04-25T23:08:50.216277Z,,+17137210577,,valid,
lead_d78280b63f9a,interior_designer,Design Insight,773-209-1488,,,616 W Fulton St Suite 512,Chicago,IL,https://www.interiordesignlink.com/chicago-interior-designers-decorators-illinois-60290.html,contact_100,business_103,location_100,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+17732091488,50,2026-04-25T23:08:51.535135Z,,+17732091488,,valid,
lead_b313a9f3d89d,interior_designer,Edward J Perrault Design Assocs,713-622-0332,,,1701 Commonwealth St,Houston,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_086,business_088,location_086,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+17136220332,50,2026-04-25T23:08:50.216277Z,,+17136220332,,valid,
lead_7fb9c473d6dd,interior_designer,Eva Quateman Interiors,773-472-0522,,,399 W Fullerton Pkwy,Chicago,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_069,business_070,location_069,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+17734720522,50,2026-04-25T23:08:49.471131Z,,+17734720522,,valid,
lead_4593cc22851d,interior_designer,Everage Interior Design,310-264-0066,,,1025 24th St,Santa Monica,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_037,business_037,location_037,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13102640066,50,2026-04-25T23:08:48.777917Z,,+13102640066,,valid,
lead_4e930c21676c,interior_designer,Fletcher Design Consultants,281-824-0444,,,PO Box 210756,Rosharon,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_051,business_051,location_051,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+12818240444,50,2026-04-25T23:08:48.777917Z,,+12818240444,,valid,
lead_46afb9076268,interior_designer,Gregga Jordan Smieszny,312-787-0017,,,1255 N State Pkwy,Chicago,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_060,business_060,location_060,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13127870017,50,2026-04-25T23:08:49.471131Z,,+13127870017,,valid,
lead_019a6cff2cb1,interior_designer,Griswold Heckel & Kelly Assocs,312-263-6605,,,55 W Wacker Dr,Chicago,IL,https://www.interiordesignlink.com/chicago-interior-designers-decorators-illinois-60290.html,contact_097,business_099,location_097,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13122636605,50,2026-04-25T23:08:51.535135Z,,+13122636605,,valid,
lead_a8fb9c20c5c7,interior_designer,House of Designs Interior Co,949-788-0224,,,27 Mauchly,Irvine,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_044,business_044,location_044,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+19497880224,50,2026-04-25T23:08:48.777917Z,,+19497880224,,valid,
lead_0885d114fb55,interior_designer,"Inspired Interiors, Inc",773-728-0419,,,2734 W Argyle St Suite 3,Chicago,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_067,business_068,location_067,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+17737280419,50,2026-04-25T23:08:49.471131Z,,+17737280419,,valid,
lead_e299a0a31bba,interior_designer,Interior Solutions,630-986-0166,,,500 Ravine Rd,Hinsdale,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_062,business_062,location_062,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+16309860166,50,2026-04-25T23:08:49.471131Z,,+16309860166,,valid,
lead_6008c97d26c4,interior_designer,Interior Visions Designs,847-825-0450,,,520 Devon Ave,Park Ridge,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_068,business_069,location_068,possible_duplicate_needs_review,"Rows share the same normalized address, city, and state without enough strong identity evidence to auto-merge.",phone:+18478250450,50,2026-04-25T23:08:49.471131Z,,+18478250450,,valid,
lead_b4df6ab6674f,interior_designer,Interiors Dynamics,312-648-3930,,,30 S Wacker Dr,Chicago,IL,https://www.interiordesignlink.com/chicago-interior-designers-decorators-illinois-60290.html,contact_098,business_100,location_098,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13126483930,50,2026-04-25T23:08:51.535135Z,,+13126483930,,valid,
lead_1fac85e88f6d,interior_designer,James Adams,210-630-0565,,,PO Box 120312,San Antonio,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_092,business_094,location_092,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+12106300565,50,2026-04-25T23:08:50.216277Z,,+12106300565,,valid,
lead_f34971d0899b,interior_designer,Jane Winckler Interiors,626-304-0301,,,375 Linda Vista Ave,Pasadena,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_047,business_047,location_047,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+16263040301,50,2026-04-25T23:08:48.777917Z,,+16263040301,,valid,
lead_432ee3523a00,interior_designer,Jarvis Designs,650-592-0137,,,15 Sorrel Ln,San Carlos,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_041,business_041,location_041,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+16505920137,50,2026-04-25T23:08:48.777917Z,,+16505920137,,valid,
lead_179577e48306,interior_designer,Judy Luckenbach Interior Design,830-257-0099,,,339 W Water St Suite 1,Kerrville,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_079,business_080,location_079,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18302570099,50,2026-04-25T23:08:50.216277Z,,+18302570099,,valid,
lead_089d25ddc3e8,interior_designer,Kim K. Etherton,619-698-0183,,,6161 El Cajon Blvd Suite B-420,San Diego,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_042,business_042,location_042,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+16196980183,50,2026-04-25T23:08:48.777917Z,,+16196980183,,valid,
lead_8a7cfc0dcb7a,interior_designer,Liberty Kitchen & Designs,847-367-0025,,,13990 Rockland Rd,Libertyville,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_061,business_061,location_061,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18473670025,50,2026-04-25T23:08:49.471131Z,,+18473670025,,valid,
lead_443534030344,interior_designer,Mary Abshier Interior Designer,713-861-0565,,,2015 W 14th St,Houston,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_093,business_095,location_093,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+17138610565,50,2026-04-25T23:08:50.216277Z,,+17138610565,,valid,
lead_aeb3955730e1,interior_designer,Mary Anne Smiley Interiors,469-374-0292,,,5440 Harvest,Dallas,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_085,business_087,location_085,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+14693740292,50,2026-04-25T23:08:50.216277Z,,+14693740292,,valid,
lead_f1e58c53af44,interior_designer,Merilee Elliott Interiors,312-222-1313,,,940 Merchandise Mart,Chicago,IL,https://www.interiordesignlink.com/chicago-interior-designers-decorators-illinois-60290.html,contact_099,business_102,location_099,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13122221313,50,2026-04-25T23:08:51.535135Z,,+13122221313,,valid,
lead_d564265f3797,interior_designer,Metamorphosis Interiors,830-596-0361,,,1600 Bunker Hill St,Marble Falls,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_087,business_089,location_087,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18305960361,50,2026-04-25T23:08:50.216277Z,,+18305960361,,valid,
lead_bf5ecc6da590,interior_designer,Mueller Interiors,815-477-0400,,,438 W Virginia St,Crystal Lake,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_065,business_066,location_065,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18154770400,50,2026-04-25T23:08:49.471131Z,,+18154770400,,valid,
lead_baddc8681fdf,interior_designer,Nancy Watts Interiors Inc,830-257-0100,,,522 Fairway Dr,Kerrville,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_080,business_081,location_080,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18302570100,50,2026-04-25T23:08:50.216277Z,,+18302570100,,valid,
lead_49c42d33fd06,interior_designer,Nate Berkus Assocs,312-642-0404,,,311 W Superior St Suite 110,Chicago,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_066,business_067,location_066,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13126420404,50,2026-04-25T23:08:49.471131Z,,+13126420404,,valid,
lead_3453ea8849b3,interior_designer,One Day Interiors,281-367-0576,,,594 Sawdust Rd Suite 297,The Woodlands,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_094,business_096,location_094,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+12813670576,50,2026-04-25T23:08:50.216277Z,,+12813670576,,valid,
lead_5a4b9412fc69,interior_designer,Page One Interiors,847-382-1001,,,320 E Main St,Barrington,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_076,business_077,location_076,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18473821001,50,2026-04-25T23:08:49.471131Z,,+18473821001,,valid,
lead_160d9f403c00,interior_designer,Patricia S Barash Interior Designer,310-828-0120,,,2525 Michigan Ave Suite F3,Santa Monica,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_040,business_040,location_040,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13108280120,50,2026-04-25T23:08:48.777917Z,,+13108280120,,valid,
lead_c43ea496dca6,interior_designer,Peters & Associates,415-431-0105,,,444 De Haro St Suite 122,San Francisco,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_039,business_039,location_039,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+14154310105,50,2026-04-25T23:08:48.777917Z,,+14154310105,,valid,
lead_10dafdb78837,interior_designer,Piconke Smith Design,630-637-0695,,,3841 Vardon Ct,Woodridge,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_071,business_072,location_071,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+16306370695,50,2026-04-25T23:08:49.471131Z,,+16306370695,,valid,
lead_14542e437def,interior_designer,Raleigh House Interiors,217-546-0363,,,520 Devon Ave,Park Ridge,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_064,business_065,location_064,possible_duplicate_needs_review,"Rows share the same normalized address, city, and state without enough strong identity evidence to auto-merge.",phone:+12175460363,50,2026-04-25T23:08:49.471131Z,,+12175460363,,valid,
lead_811a48dd381f,interior_designer,Remodeling Interior by Rafael,408-999-0568,,,1711 Little Orchard St,San Jose,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_055,business_055,location_055,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+14089990568,50,2026-04-25T23:08:48.777917Z,,+14089990568,,valid,
lead_d53864ce1fa9,interior_designer,Richar Interiors,312-951-0924,,,1244 N Wells St,Chicago,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_075,business_076,location_075,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13129510924,50,2026-04-25T23:08:49.471131Z,,+13129510924,,valid,
lead_13e958feb2c6,interior_designer,Signature Design Group,713-527-0101,,,11647 Village Pl,Houston,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_081,business_082,location_081,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+17135270101,50,2026-04-25T23:08:50.216277Z,,+17135270101,,valid,
lead_38e2c93edefe,interior_designer,Sop Interiors,972-386-0535,,,5100 Verde Valley Ln,Dallas,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_090,business_092,location_090,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+19723860535,50,2026-04-25T23:08:50.216277Z,,+19723860535,,valid,
lead_ff7fba70c880,interior_designer,Stephanie Flint Interior Design,530-897-0347,,,555 Main St,#350 Chico,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_048,business_048,location_048,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+15308970347,50,2026-04-25T23:08:48.777917Z,,+15308970347,,valid,
lead_5262693c8533,interior_designer,Streul's Interiors,815-434-0592,,,1012 La Salle St,Ottawa,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_070,business_071,location_070,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18154340592,50,2026-04-25T23:08:49.471131Z,,+18154340592,,valid,
lead_521f418749e4,interior_designer,Sugar Creek Interiors,713-212-0000,,,8200 Washington Ave Suite D,Houston,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_078,business_079,location_078,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+17132120000,50,2026-04-25T23:08:50.216277Z,,+17132120000,,valid,
lead_c9d23fa6c3c2,interior_designer,Suzanne Rheinstein Interior Designer,310-777-0100,,,927 N La Cienega Blvd,Los Angeles,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_038,business_038,location_038,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13107770100,50,2026-04-25T23:08:48.777917Z,,+13107770100,,valid,
lead_006e586c89d0,interior_designer,The Maude Group,630-469-0700,,,475 Duane St,Glen Ellyn,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_072,business_073,location_072,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+16304690700,50,2026-04-25T23:08:49.471131Z,,+16304690700,,valid,
lead_a90bd72bb497,interior_designer,The Skyline Studios,213-624-0454,,,600 W 9th St Suite 1111,Los Angeles,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_053,business_053,location_053,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+12136240454,50,2026-04-25T23:08:48.777917Z,,+12136240454,,valid,
lead_c15b79822056,interior_designer,Tuttle Interior Systems,916-924-0400,,,11500 Sunrise Circle,Rancho Cordova,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_049,business_049,location_049,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+19169240400,50,2026-04-25T23:08:48.777917Z,,+19169240400,,valid,
lead_0ec3d0be7b13,interior_designer,Vision Design,214-292-0456,,,5919 A Maple Ave,Dallas,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_088,business_090,location_088,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+12142920456,50,2026-04-25T23:08:50.216277Z,,+12142920456,,valid,
lead_8cd760506e59,property_manager,"ABC Property Managers, Inc.",(847) 985-4044,,http://abcpropertymanagers.com,1732 W Wise Rd,Schaumburg,IL,https://hoamanagementcompanies.net/abc-property-managers-inc,contact_002,business_002,location_002,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18479854044,75,2026-04-25T23:08:23.768406Z,abcpropertymanagers.com,+18479854044,,valid,
lead_5fc30e214a83,property_manager,ALPS Group,(312) 860-7377,,http://thealpsgroup.com,8779 W Laraway Rd,Frankfort,IL,https://hoamanagementcompanies.net/alps-group,contact_005,business_005,location_005,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13128607377,75,2026-04-25T23:08:26.599128Z,thealpsgroup.com,+13128607377,,valid,
lead_273891fc5cb1,property_manager,"AMG Management Group, LLC",(815) 744-6822,,http://amgllc1.com,1429 Essington Rd,Joliet,IL,https://hoamanagementcompanies.net/amg-management-group-llc,contact_007,business_007,location_007,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18157446822,75,2026-04-25T23:08:28.164230Z,amgllc1.com,+18157446822,,valid,
lead_0231315998b2,property_manager,"Advanced Association Management, Inc.",(972) 248-2238,,http://advancedassociationmgmt.com,18208 Preston Rd Ste D-9349,Dallas,TX,https://hoamanagementcompanies.net/advanced-association-management-inc,contact_016,business_016,location_016,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+19722482238,75,2026-04-25T23:08:34.448093Z,advancedassociationmgmt.com,+19722482238,,valid,
lead_fb7db07fbaa0,property_manager,Advantage Management,(312) 475-9400,,http://advantage-management.com,350 N La Salle Dr Ste 900,Chicago,IL,https://hoamanagementcompanies.net/advantage-management,contact_003,business_003,location_003,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13124759400,75,2026-04-25T23:08:24.523024Z,advantage-management.com,+13124759400,,valid,
lead_232a0f3f2a42,property_manager,Advocate Property Management,(630) 748-8310,,http://advocatepropertymanagement.com,PO Box 9014,Naperville,IL,https://hoamanagementcompanies.net/advocate-property-management,contact_004,business_004,location_004,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+16307488310,75,2026-04-25T23:08:25.306426Z,advocatepropertymanagement.com,+16307488310,,valid,
lead_36da3c02ea90,property_manager,"Algonquin Properties, LLC",(214) 676-5450,,http://algonquinhoa.com,1314 W McDermott Dr Ste 106,PMB 404 Allen,TX,https://hoamanagementcompanies.net/algonquin-properties-llc,contact_017,business_017,location_017,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+12146765450,75,2026-04-25T23:08:34.952478Z,algonquinhoa.com,+12146765450,,valid,
lead_1428382a13ce,property_manager,Allied HOA Management,(817) 200-7606,,http://alliedhoamgmt.com,1900 Country Club Dr Suite 120,Mansfield,TX,https://hoamanagementcompanies.net/allied-hoa-management,contact_013,business_013,location_013,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18172007606,75,2026-04-25T23:08:32.982711Z,alliedhoamgmt.com,+18172007606,,valid,
lead_400270a34637,property_manager,Allstate HOA Management,(310) 444-7444,,http://hoamgmt.com,11030 Santa Monica Blvd suite 100,Los Angeles,CA,https://hoamanagementcompanies.net/allstate-hoa-management,contact_025,business_025,location_025,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13104447444,75,2026-04-25T23:08:39.763770Z,hoamgmt.com,+13104447444,,valid,
lead_1ac48373651f,property_manager,Alternative Management Systems,(214) 904-8250,,http://alternativemanagementsystems.com,PO Box 543081,Dallas,TX,https://hoamanagementcompanies.net/alternative-management-systems,contact_018,business_018,location_018,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+12149048250,75,2026-04-25T23:08:35.470512Z,alternativemanagementsystems.com,+12149048250,,valid,
lead_04cd06b8118d,property_manager,"Americal HOA Property Management Company, Inc.",(949) 573-7825,,https://americalhoa.com,34281 Doheny Park Rd,#7225 Capistrano Beach,CA,https://hoamanagementcompanies.net/americal-hoa-property-management-company-inc,contact_026,business_026,location_026,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+19495737825,75,2026-04-25T23:08:40.433597Z,americalhoa.com,+19495737825,,valid,
lead_aceb0e64b3e8,property_manager,American HOA Management,(818) 661-9255,,https://americanhoamanagement.net,254 N Lake Ave,Pasadena,CA,https://hoamanagementcompanies.net/american-hoa-management,contact_027,business_027,location_027,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18186619255,75,2026-04-25T23:08:41.100311Z,americanhoamanagement.net,+18186619255,,valid,
lead_e6855305e733,property_manager,American Property Management of Illinois,(847) 985-6464,,https://apmofil.com,1251 N Plum Grove Rd Ste 140F,Schaumburg,IL,https://hoamanagementcompanies.net/american-property-management-of-illinois,contact_006,business_006,location_006,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18479856464,75,2026-04-25T23:08:27.388175Z,apmofil.com,+18479856464,,valid,
lead_e7b87e1c5db0,property_manager,Associa Chicagoland,(847) 490-3833,,http://associachicagoland.com,50 Commerce Dr Ste 110,Schaumburg,IL,https://hoamanagementcompanies.net/associa-chicagoland,contact_008,business_008,location_008,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18474903833,75,2026-04-25T23:08:28.911615Z,associachicagoland.com,+18474903833,,valid,
lead_22d54f961115,property_manager,"Assured Association Management, Inc.",(469) 480-8000,,http://assuredmanagement.com,2500 Legacy Dr Ste 220,Frisco,TX,https://hoamanagementcompanies.net/assured-association-management-inc,contact_019,business_019,location_019,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+14694808000,75,2026-04-25T23:08:35.946615Z,assuredmanagement.com,+14694808000,,valid,
lead_434b536b6d4d,property_manager,"Bay Property Services, Inc.",(708) 974-4900,,http://baypropertyservices.net,315 W Maple St,New Lenox,IL,https://hoamanagementcompanies.net/bay-property-services-inc,contact_009,business_009,location_009,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+17089744900,75,2026-04-25T23:08:29.673579Z,baypropertyservices.net,+17089744900,,valid,
lead_7a12370328eb,property_manager,Braeside Community Management LTD.,(847) 504-8020,,http://bcmltd.com,790 Estate Dr Ste 100,Deerfield,IL,https://hoamanagementcompanies.net/braeside-community-management-ltd,contact_010,business_010,location_010,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18475048020,75,2026-04-25T23:08:30.508417Z,bcmltd.com,+18475048020,,valid,
lead_be70bd9fdbe7,property_manager,"Cagan Management Group, Inc.",(847) 679-5512,,https://cagan.com,3856 Oakton St Ste 100A,Skokie,IL,https://hoamanagementcompanies.net/cagan-management-group-inc,contact_011,business_011,location_011,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18476795512,75,2026-04-25T23:08:31.354177Z,cagan.com,+18476795512,,valid,
lead_95781ad68267,property_manager,California HOA Solutions,(818) 927-1001,,http://cahoasolutions.com,5850 Canoga Ave,#400 Woodland Hills,CA,https://hoamanagementcompanies.net/california-hoa-solutions,contact_028,business_028,location_028,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+18189271001,75,2026-04-25T23:08:41.800939Z,cahoasolutions.com,+18189271001,,valid,
